Timestamp,Milliseconds,X,Y,Z
2019-09-11 15:05:31,15,0.8717346,8.420761,1.557312
2019-09-11 15:05:31,52,1.4199982,8.332184,2.4311981
2019-09-11 15:05:31,102,1.6091461,10.020096,2.4766846
2019-09-11 15:05:31,152,1.2548065,8.224442,2.2037506
2019-09-11 15:05:31,202,1.6953278,9.907562,2.5389404
2019-09-11 15:05:31,252,1.0704498,8.272324,2.1630402
2019-09-11 15:05:31,303,1.6282959,9.888412,2.6753998
2019-09-11 15:05:32,352,1.1470642,8.787079,2.4000702
2019-09-11 15:05:32,403,1.5995636,9.354507,2.4766846
2019-09-11 15:05:32,452,1.2188873,8.985794,2.3857117
2019-09-11 15:05:32,502,1.5540771,9.261124,2.4718933
2019-09-11 15:05:32,552,1.2883148,9.024109,2.3497925
2019-09-11 15:05:32,603,1.4559174,9.002563,2.3426056
2019-09-11 15:05:32,652,1.2931061,9.004959,2.3857117
2019-09-11 15:05:32,702,1.5014038,9.376053,2.4934387
2019-09-11 15:05:32,752,1.3362122,8.937912,2.1630402
2019-09-11 15:05:32,802,1.5253448,9.818985,2.4168243
2019-09-11 15:05:32,852,1.2787476,7.9515076,2.0792542
2019-09-11 15:05:32,902,1.4990082,8.992981,2.4288025
2019-09-11 15:05:32,952,1.2619781,8.183746,2.1175537
2019-09-11 15:05:32,1002,1.4487305,9.907562,2.7089233
2019-09-11 15:05:32,1052,1.2787476,8.322601,2.0720673
2019-09-11 15:05:32,1103,1.4223938,10.144592,2.6777954
2019-09-11 15:05:32,1152,1.269165,8.183746,2.0385437
2019-09-11 15:05:32,1202,1.458313,10.168533,2.6658325
2019-09-11 15:05:32,1252,1.3601532,8.394424,2.1103668
2019-09-11 15:05:32,1303,1.4798584,10.067978,2.6777954
2019-09-11 15:05:33,1352,1.434372,8.454285,2.1654358
2019-09-11 15:05:33,1402,1.4463348,9.847717,2.6442719
2019-09-11 15:05:33,1452,1.2955017,8.224442,1.9068604
2019-09-11 15:05:33,1503,1.2715607,9.376053,2.7783508
2019-09-11 15:05:33,1552,1.3529663,8.787079,1.5381622
2019-09-11 15:05:33,1602,1.3984528,8.174164,2.522171
2019-09-11 15:05:33,1653,1.2859192,10.4223175,2.0529175
2019-09-11 15:05:33,1702,1.4487305,7.123108,1.7919464
2019-09-11 15:05:33,1752,1.2380371,8.006577,1.2317047
2019-09-11 15:05:33,1802,1.2045288,9.579559,2.9507446
2019-09-11 15:05:33,1852,1.3218384,9.5364685,1.2484589
2019-09-11 15:05:33,1903,1.2500153,9.40239,2.5580902
2019-09-11 15:05:33,1952,1.2619781,9.270706,1.265213
2019-09-11 15:05:33,2002,1.2978973,8.4183655,2.2205048
2019-09-11 15:05:33,2052,1.3577576,9.572372,1.1383209
2019-09-11 15:05:33,2102,1.3218384,9.270706,2.2468414
2019-09-11 15:05:33,2152,1.3026886,8.480621,1.3418274
2019-09-11 15:05:33,2202,1.4247894,9.421539,2.2133179
2019-09-11 15:05:33,2252,1.1039734,8.686523,1.6865997
2019-09-11 15:05:33,2302,1.3601532,9.775879,2.232483
2019-09-11 15:05:34,2353,1.2260742,9.076782,2.0026398
2019-09-11 15:05:34,2402,1.3816986,8.954666,2.0337524
2019-09-11 15:05:34,2452,1.3314209,9.385635,2.2683868
2019-09-11 15:05:34,2502,1.4367676,8.698486,1.6889954
2019-09-11 15:05:34,2553,1.5157776,9.522095,2.4575348
2019-09-11 15:05:34,2602,1.4223938,9.514923,1.8829193
2019-09-11 15:05:34,2652,1.1781921,9.117477,2.5317535
2019-09-11 15:05:34,2702,1.4846497,8.813416,1.8877106
2019-09-11 15:05:34,2752,1.434372,9.275497,2.407257
2019-09-11 15:05:34,2803,1.4199982,8.849335,1.9930573
2019-09-11 15:05:34,2852,1.3385925,9.057617,2.395279
2019-09-11 15:05:34,2903,1.5780182,9.0815735,2.364151
2019-09-11 15:05:34,2952,1.4367676,9.277893,2.1989594
2019-09-11 15:05:34,3002,1.4511261,9.151001,2.4527435
2019-09-11 15:05:34,3053,1.3840942,8.799057,2.1103668
2019-09-11 15:05:34,3102,1.4008484,8.71286,2.280365
2019-09-11 15:05:34,3153,1.2787476,8.832565,2.2635956
2019-09-11 15:05:34,3202,1.3074799,9.3233795,2.352188
2019-09-11 15:05:34,3252,1.4056396,9.464645,2.359375
2019-09-11 15:05:34,3303,1.2308655,8.959457,2.1845856
2019-09-11 15:05:35,3352,1.3362122,8.9474945,2.4311981
2019-09-11 15:05:35,3403,1.616333,9.273102,2.1893768
2019-09-11 15:05:35,3452,1.4080353,8.827774,2.3473969
2019-09-11 15:05:35,3502,1.4247894,9.380844,2.383316
2019-09-11 15:05:35,3552,1.2284698,9.507736,2.6777954
2019-09-11 15:05:35,3603,1.4056396,9.2443695,2.4024658
2019-09-11 15:05:35,3652,1.4631042,8.485413,2.0720673
2019-09-11 15:05:35,3702,1.1853638,8.878052,2.3617706
2019-09-11 15:05:35,3752,1.5876007,10.2044525,2.9076385
2019-09-11 15:05:35,3802,1.4511261,8.485413,2.074463
2019-09-11 15:05:35,3852,1.4535217,8.722443,2.2181091
2019-09-11 15:05:35,3902,1.6067505,9.948273,2.6347046
2019-09-11 15:05:35,3952,1.4080353,8.308243,1.9427795
2019-09-11 15:05:35,4002,1.3362122,9.479004,2.7687836
2019-09-11 15:05:35,4053,1.4870453,9.62265,2.4335938
2019-09-11 15:05:35,4102,1.2835388,8.229233,2.1630402
2019-09-11 15:05:35,4152,1.2907104,10.11586,2.862152
2019-09-11 15:05:35,4202,1.5325317,8.39682,1.9595337
2019-09-11 15:05:35,4253,1.2380371,9.0265045,2.5078125
2019-09-11 15:05:35,4302,1.6019592,8.636246,2.2181091
2019-09-11 15:05:36,4352,1.3457794,8.631454,2.5197754
2019-09-11 15:05:36,4402,1.6067505,9.744766,2.5102081
2019-09-11 15:05:36,4452,1.3146515,8.3585205,2.0720673
2019-09-11 15:05:36,4502,1.4487305,9.907562,2.869339
